,Country_Activity
USA surfing,0.16768499660556688
USA swimming,0.09346005883684091
USA other,0.07897714415026023
USA fishing,0.05544240778456665
AUSTRALIA surfing,0.05182167911292147
AUSTRALIA other,0.04955872369314324
AUSTRALIA fishing,0.04955872369314324
AUSTRALIA swimming,0.0343969223806291
SOUTH AFRICA surfing,0.030097307083050463
USA diving,0.02760805612129441
AUSTRALIA diving,0.026929169495360943
SOUTH AFRICA fishing,0.024892509617560534
SOUTH AFRICA other,0.018782529984159312
SOUTH AFRICA swimming,0.01697216564833673
BAHAMAS fishing,0.00973070830504639
BRAZIL surfing,0.008372935053179452
PAPUA NEW GUINEA fishing,0.007241457343290337
NEW ZEALAND fishing,0.006788866259334691
SOUTH AFRICA diving,0.006109979633401222
PAPUA NEW GUINEA other,0.006109979633401222
